,Title,Published_date,Views,Likes,Comments,Month
127,Complete Data Analyst Roadmap on Analyst Builder | Become a Data Analyst Faster!,2024-07-25,64005,1780,167,Jul
128,Blob Storage and Storage Accounts in Azure | Azure Fundamentals,2024-07-23,24521,429,14,Jul
129,Azure Account Setup + $200 Free Credits | Azure Fundamentals,2024-07-16,37197,676,31,Jul
130,Building a Fully Interactive Web App using Shiny for Python,2024-07-09,18994,415,25,Jul
131,Shiny for Python Components and Layouts | Customizing You Web App,2024-07-02,6808,183,13,Jul
132,Shiny for Python Setup and Install | Deploying First Shiny App,2024-06-25,17044,387,41,Jun
133,Is the Economy on the Brink of a Recession? | Let's Look at the Data!,2024-06-18,13872,808,130,Jun
134,Top 5 Most Common Excel Functions in Excel,2024-06-11,10384,407,9,Jun
135,5 Awesome Excel Functions You've Probably Never Heard Of,2024-06-04,7124,246,17,Jun
136,How to Create Custom Functions in Excel | Lambda Functions,2024-05-28,9710,267,12,May
137,Top 5 Most Popular Functions In Microsoft Excel,2024-05-21,18128,471,27,May
138,Infrastructure of Analyst Builder | Entire Tech Stack | Part 3,2024-05-14,7658,93,10,May
139,2 Hour Data Analyst Interview Masterclass | Interview Better Than The Competition,2024-05-07,147558,4400,104,May
140,Challenges of Creating Analyst Builder | Challenges of a Startup | Part 2,2024-05-07,2667,65,11,May
141,How We Started Analyst Builder | How We Created It | Part 1,2024-04-30,6992,216,35,Apr
142,MySQL Exploratory Data Analysis | Full Project,2024-04-23,183434,4203,187,Apr
143,750k Subscriber Livestream! | Giveaways | Songs | Q/A,2024-04-18,5214,229,13,Apr
144,Data Cleaning in MySQL | Full Project,2024-04-16,460734,9560,1250,Apr
145,How to get Promoted as a Data Analyst | Alex The Analyst Show Episode 26,2024-04-09,9427,294,87,Apr
146,Triggers and Events in MySQL | Advanced MySQL Series,2024-04-02,170040,5311,192,Apr
147,How to give up on the job search fast,2024-03-27,32216,2304,35,Mar
148,Stored Procedures in MySQL | Advanced MySQL Series,2024-03-26,181176,3329,104,Mar
149,Temp Tables in MySQL | Advanced MySQL Series,2024-03-19,117836,2411,82,Mar
150,CTEs in MySQL | Advanced MySQL Series,2024-03-12,206021,3238,95,Mar
151,7 Mistakes to Avoid During Your Data Analyst Job Search,2024-03-05,20475,760,50,Mar
152,#DataAnalyst #AnalystBuilder #SQL,2024-03-01,24012,1576,17,Mar
153,Q/A Livestream | February Livestream | Ask Me Anything!,2024-02-29,5703,189,7,Feb
154,Window Functions in MySQL | Intermediate MySQL,2024-02-27,243598,6369,169,Feb
155,Twitter making me tear up over here 🥹,2024-02-23,8557,321,12,Feb
156,Subqueries in MySQL | Intermediate MySQL,2024-02-20,200994,3121,112,Feb
157,Case Statements in MySQL | Intermediate MySQL,2024-02-13,180371,3095,147,Feb
158,We did our best,2024-02-08,8200,251,5,Feb
159,"Microsoft Copilot Full Review | AI in Word, PowerPoint, Excel and More!",2024-02-06,88762,1040,52,Feb
160,Top 5 Emerging Trends in 2024 | CareerFoundry Webinar,2024-01-30,13537,474,10,Jan
161,String Functions in MySQL | Intermediate MySQL Series,2024-01-30,202243,3405,99,Jan
162,Unions in MySQL | Intermediate MySQL,2024-01-23,194945,3356,106,Jan
163,Joins in MySQL | Intermediate MySQL,2024-01-16,427042,5889,223,Jan
164,Is my background in Data Analytics?,2024-01-15,34586,2248,33,Jan
165,Solving VERY HARD SQL Interview Questions on Analyst Builder,2024-01-11,27122,649,23,Jan
166,Solving HARD SQL Interview Questions on Analyst Builder,2024-01-09,35545,722,38,Jan
167,Hard Skills vs Soft Skills,2024-01-08,18039,1069,7,Jan
168,Solving Medium SQL Interview Questions on Analyst Builder,2024-01-04,39077,866,51,Jan
169,Solving Easy SQL Interview Questions on Analyst Builder,2024-01-02,75288,1603,61,Jan
170,How I Would Become a Data Analyst if I had to Start Over in 2024 | 6 Month Plan,2023-12-26,453429,17505,542,Dec
171,Limit + Aliasing in MySQL | MySQL Beginner Series,2023-12-19,209604,3886,123,Dec
172,Practice SQL and Python right on your Phone!,2023-12-13,10975,642,20,Dec
173,Analyst Builder Full Launch! | The Learning Platform Built for Data Analysts,2023-12-12,26183,1036,112,Dec
