,Title,Published_date,Views,Likes,Comments
191,"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",2023-10-03T12:00:26Z,38741,848,45
192,Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,2023-09-28T16:09:03Z,9029,284,20
193,#Salary #DataAnalyst #SalaryNegotiation,2023-09-28T12:37:36Z,15212,992,7
194,AI and Analytics with SAS | SAS Explore Recap,2023-09-26T12:00:49Z,27447,563,33
195,My Very First Video,2023-09-25T13:13:18Z,10037,505,28
196,#DataAnalyst #CareerPath,2023-09-22T11:45:01Z,120294,6320,45
197,"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",2023-09-19T12:00:34Z,49365,1202,54
198,#Excel #DataAnalyst #DataAnalysis,2023-09-18T11:38:11Z,22217,1447,22
199,"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",2023-09-12T12:00:07Z,48814,1665,100
200,#DataAnalysis #DataAnalyst,2023-09-07T11:57:32Z,21472,1491,23
201,Hard Skills vs Soft Skills in the Data World | Which is More Important?,2023-09-05T12:00:34Z,16712,722,30
202,"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",2023-08-29T04:00:33Z,47118,1991,112
203,#DataAnalyst #DataAnalysis #Promotion,2023-08-28T11:53:52Z,11342,637,10
204,#DataAnalyst #DataAnalysis,2023-08-24T11:53:05Z,21965,1429,54
205,Regular Expression Use Cases in Python,2023-08-22T12:00:35Z,13223,309,24
206,Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,2023-08-18T14:23:24Z,8533,318,25
207,#DataAnalystSalary #DataAnalysis,2023-08-17T12:35:34Z,58296,3900,48
208,How to Work with Recruiters on LinkedIn,2023-08-15T12:00:34Z,53122,2466,88
209,#dataanalysis #dataportfolio,2023-08-14T12:12:00Z,51220,3632,30
210,#wife #careerchange #dataanalysis,2023-08-11T13:13:22Z,22694,2025,53
211,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,2023-08-09T13:11:45Z,9116,765,43
212,Regular Expression Character Classes in Python,2023-08-08T12:00:05Z,17405,279,13
213,#Recruiters #dataanalysis #data,2023-08-03T11:56:30Z,19095,1235,24
214,Regular Expression Metacharacters in Python,2023-08-01T12:00:26Z,15583,368,9
215,How much do Data Analysts make? #dataanalyst #dataanalystsalary,2023-07-31T13:07:06Z,22735,854,42
216,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,2023-07-28T12:48:19Z,78528,3906,49
217,Regular Expression Methods in Python,2023-07-25T12:00:19Z,28473,542,15
218,What are Hiring Managers Looking For? | Nail the Interview Process!,2023-07-18T12:00:17Z,49908,1669,77
219,Scraping Data from a Real Website | Web Scraping in Python,2023-07-11T12:00:07Z,776020,13657,563
220,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-07-06T17:20:05Z,242625,6656,120
221,Find and Find_All | Web Scraping in Python,2023-07-04T12:00:49Z,111131,2764,51
222,500k Livestream!!,2023-06-28T17:11:25Z,6298,381,24
223,BeautifulSoup + Requests | Web Scraping in Python,2023-06-27T12:00:28Z,272783,4752,84
224,Inspecting Web Pages with HTML | Web Scraping in Python,2023-06-20T12:00:43Z,104698,2510,45
225,Best Places to Find Datasets for Your Projects,2023-06-13T12:00:16Z,275014,6603,106
226,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,2023-06-06T12:00:14Z,245491,5297,263
227,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,2023-05-30T16:34:20Z,10284,362,20
228,What is Microsoft Fabric? | New Data Analytics Platform!,2023-05-29T12:00:07Z,383631,6845,172
229,Data Cleaning in Pandas | Python Pandas Tutorials,2023-05-23T12:30:17Z,571330,13096,556
230,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,2023-05-16T16:18:56Z,59172,1868,52
231,State of AI in Analytics | Will AI be the End of Data Analysts?,2023-05-15T12:30:11Z,47486,1383,376
232,Google Bard Got An Upgrade! + Google's New AI Announcements!,2023-05-12T12:15:00Z,33404,792,78
233,Creating Visualizations using Pandas Library | Python Pandas Tutorials,2023-05-09T11:30:06Z,121525,2625,53
234,Merging DataFrames in Pandas | Python Pandas Tutorials,2023-05-02T12:06:33Z,190100,4027,90
235,Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,2023-04-27T16:32:02Z,10348,337,27
236,How to Integrate ChatGPT in Jupyter Notebooks for Free!,2023-04-25T11:30:01Z,69144,1281,60
237,7 Ways to Use ChatGPT for Analytics | Webinar,2023-04-18T16:18:50Z,39517,1073,30
238,Google Business Intelligence Professional Certification Review,2023-04-18T11:30:08Z,48681,1302,74
239,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,2023-04-10T11:30:21Z,165420,4604,402
240,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,2023-04-04T11:30:10Z,157236,3704,153
241,Top 5 Biggest Mistakes Beginner Data Analysts Make,2023-03-28T11:30:04Z,40073,1792,79
242,Indexes in Pandas | Python Pandas Tutorials,2023-03-21T11:30:30Z,95209,2114,57
243,Create the Perfect Data Analyst Resume | Free Templates!,2023-03-14T11:30:10Z,262281,6909,264
244,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,2023-03-07T12:30:30Z,152949,3094,73
245,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,2023-03-02T16:27:46Z,11225,392,33
246,Reading in Files in Pandas | Python Pandas Tutorials,2023-02-28T12:30:18Z,311831,4910,128
247,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,2023-02-21T12:32:29Z,98738,2119,103
248,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2023-02-14T12:30:08Z,451380,8274,217
249,FREE Data Analyst Bootcamp!!,2023-02-07T12:30:11Z,2760511,59598,2495
250,How to Become a Data Analyst in 2023 (Completely FREE!),2023-01-31T12:30:06Z,1569191,49539,1683
251,Live Portfolio Review with Alex the Analyst!  | Live Webinar,2023-01-25T17:14:49Z,17916,633,23
252,DIY Data Analyst Curriculum using Udemy (Under $75),2023-01-24T12:30:13Z,42802,1492,120
253,Reviewing Maven Analytics Free Portfolio Website,2023-01-17T12:30:08Z,31233,884,49
254,5 Study Hacks for Beginner Data Analysts! | Live Webinar,2023-01-16T17:25:08Z,46829,1344,36
255,DIY Data Analyst Curriculum using Coursera in 2023,2023-01-10T12:30:03Z,66730,3031,220
256,Building a BMI Calculator with Python | Python Projects for Beginners,2023-01-03T12:30:12Z,124884,2469,99
257,"Reading, Writing, and Appending Files in Python | Python for Beginners",2022-12-27T13:00:00Z,16470,414,14
258,Why I Quit my 125k Analytics Job,2022-12-20T12:00:33Z,158492,8661,846
259,Data Analyst Q/A Livestream + Special Guest! | December Livestream,2022-12-17T14:16:05Z,5131,166,15
